City,CO,PM10,SO2,PM2.5,O3,NO2
Naperville,216.96,12.47,1.67,8.42,105.86,6.0
Stockton,494.0,43.77,3.82,39.36,240.33,5.83
Lawrence,213.62,1.89,0.58,1.57,69.38,1.61
O'Fallon,201.94,7.22,4.35,4.31,86.55,3.47
Mesa,230.31,9.29,0.74,3.03,70.81,3.64
Bryan,190.26,1.9,0.46,1.43,69.38,1.48
Springfield,205.28,8.49,1.09,5.94,91.55,3.77
Flint,277.04,9.02,0.37,8.45,75.1,4.76
Tacoma,195.27,7.74,1.97,6.77,117.3,5.14
Waterbury,287.06,15.45,0.63,14.76,60.08,4.5
Eagan,423.91,6.98,3.55,6.34,5.9,41.81
Fort Smith,203.61,6.03,0.69,3.89,77.96,2.53
Carmichael,220.3,9.09,1.07,3.64,17.7,1.69
Daly City,165.22,13.36,1.28,7.95,85.83,1.63
Murrieta,198.6,18.51,2.3,10.74,157.36,3.21
Quincy,390.53,10.19,4.95,8.0,30.04,41.13
Boulder,176.91,5.85,0.23,2.86,61.51,1.44
Evanston,257.02,20.4,1.34,18.73,135.9,9.25
Dothan,178.58,4.34,0.2,1.45,72.96,1.19
Antioch,547.41,17.71,2.33,12.77,61.51,58.95
Victorville,205.28,20.83,2.44,13.78,185.97,2.96
Billings,175.24,4.12,1.25,2.34,82.25,1.61
Sandy Springs,223.64,10.63,1.94,4.72,100.14,9.51
Iowa City,233.65,7.32,0.25,5.34,62.94,3.64
Largo,230.31,6.78,1.25,4.96,87.98,7.11
Shreveport,220.3,4.82,1.03,3.33,117.3,4.84
Kalamazoo,211.95,13.35,0.64,11.24,101.57,2.83
Round Rock,195.27,2.46,0.38,1.91,65.8,2.61
Columbia,188.59,1.81,1.52,1.23,66.52,3.26
Sandy,213.62,10.49,1.03,3.64,98.71,9.08
Hoover,367.17,13.75,1.21,7.25,97.28,17.65
Fullerton,327.11,30.58,15.74,20.1,171.66,32.56
Newport Beach,240.33,20.96,12.16,12.22,133.04,17.82
Palm Coast,230.31,1.4,0.13,1.21,28.61,3.21
Albany,287.06,6.07,0.41,5.51,52.21,8.05
Decatur,213.62,13.34,2.59,9.97,117.3,4.16
Anaheim,327.11,30.58,15.74,20.1,171.66,32.56
Rochester,360.49,9.57,0.72,8.73,43.99,23.31
Buffalo,310.42,10.37,0.83,9.62,90.84,8.48
Richmond,240.33,9.32,0.52,4.1,60.08,9.77
Sunnyvale,196.93,13.24,1.37,8.76,85.12,4.63
Milwaukee,223.64,5.56,0.72,5.16,72.24,6.08
Savannah,206.95,2.77,1.18,1.75,40.41,2.83
Costa Mesa,240.33,20.96,12.16,12.22,133.04,17.82
New Haven,480.65,68.47,3.37,65.25,124.45,16.97
Westland,297.07,17.39,1.61,15.94,105.86,8.14
Cedar Rapids,223.64,5.92,1.09,4.58,70.81,1.97
Troy,287.06,6.07,0.41,5.51,52.21,8.05
Santa Barbara,191.93,11.9,0.51,8.33,115.87,1.0
Chino,343.8,69.22,15.14,59.48,334.74,10.97
Tucson,240.33,1.12,0.33,0.5,44.7,1.89
Elizabeth,383.85,25.41,11.21,15.57,78.68,50.04
Wyoming,230.31,10.4,2.12,8.9,113.01,3.6
Norman,216.96,4.02,0.48,3.48,92.98,2.44
Frisco,250.34,7.4,1.45,6.24,127.32,9.77
Waterloo,223.64,4.4,0.29,3.74,73.67,2.34
Oakland,216.96,13.68,2.65,9.21,86.55,10.71
Jonesboro,240.33,11.09,0.22,7.38,52.21,4.67
Springfield,205.28,8.49,1.09,5.94,91.55,3.77
Mission,181.91,4.42,0.07,2.08,44.35,1.33
Lansing,263.69,12.37,0.57,11.49,90.12,7.88
Bay,178.58,1.24,0.08,1.15,38.62,1.69
Poinciana,236.99,2.2,0.24,1.67,35.41,5.57
Lehigh Acres,226.97,3.64,0.32,2.62,57.94,6.77
Henderson,191.93,11.56,0.62,4.98,115.87,6.68
North Little Rock,257.02,5.83,1.31,3.87,76.53,11.31
Yonkers,340.46,37.07,5.36,28.71,141.62,17.82
Atlanta,211.95,10.09,2.06,4.29,91.55,9.25
Cambridge,156.88,1.15,0.43,0.97,75.1,2.53
Wilmington,240.33,14.41,2.92,6.9,97.28,11.14
Fargo,211.95,1.58,0.07,1.53,61.51,1.06
Glendale,267.03,26.52,7.39,18.57,178.81,16.11
Abilene,190.26,0.66,0.09,0.56,56.51,0.81
Bismarck,188.59,1.47,0.02,1.42,71.53,0.94
Lawton,195.27,3.71,0.18,3.23,100.14,1.3
Fremont,277.04,18.65,2.95,12.57,98.71,20.39
Redding,216.96,7.56,0.25,4.79,124.45,7.2
Johnson City,273.71,9.49,0.27,6.37,42.56,9.43
San Tan Valley,226.97,4.3,0.14,1.27,50.07,1.08
Deerfield Beach,236.99,3.83,1.31,1.72,53.64,5.14
Warren,403.88,21.79,2.83,20.27,89.41,22.28
Fresno,343.8,23.32,1.12,19.56,164.51,6.6
Auburn,180.24,7.86,0.27,3.29,84.4,1.36
Kissimmee,267.03,2.79,0.66,2.2,29.33,15.59
